Contact Name,Call Type,Call ID,Call Receive Tone
Silent,1,0,0
Worldwide,1,1,0
Metro 1,1,2,0
North America,1,3,0
Local,1,9,1
Metro 2,1,10,0
WW English,1,13,0
BM Worldwide,1,91,0
BM North America,1,93,0
DMR Simplex,1,99,0
UAe 1,1,113,0
UAe 2,1,123,0
TAC310,1,310,0
TAC311,1,311,0
TAC312,1,312,0
TAC313,1,313,0
TAC314,1,314,0
TAC315,1,315,0
TAC316,1,316,0
TAC317,1,317,0
TAC318,1,318,0
TAC319,1,319,0
BronxTRBO,1,444,0
USA 1776,1,1776,0
DCI Bridge-BMUSA,1,3100,0
Alabama,1,3101,0
Alaska,1,3102,0
Arizona,1,3104,0
AR Statewide,1,3105,0
Arkansas,1,3105,0
California,1,3106,0
Colorado,1,3108,0
Connecticut,1,3109,0
Deleware,1,3110,0
D.C.,1,3111,0
Florida,1,3112,0
Georgia,1,3113,0
Hawaii,1,3115,0
Idaho,1,3116,0
Illinois,1,3117,0
Indiana,1,3118,0
Iowa,1,3119,0
Kansas,1,3120,0
Kentucky,1,3121,0
Louisiana,1,3122,0
Maine,1,3123,0
Maryland,1,3124,0
Massachusetts,1,3125,0
Michigan,1,3126,0
Minnesota,1,3127,0
Mississippi,1,3128,0
Missouri,1,3129,0
Montana,1,3130,0
Nebraska,1,3131,0
Nevada,1,3132,0
New Hampshire,1,3133,0
New Jersey,1,3134,0
New Mexico,1,3135,0
New York,1,3136,0
North Carolina,1,3137,0
North Dakota,1,3138,0
Ohio,1,3139,0
Oklahoma,1,3140,0
Oregon,1,3141,0
Pennsylvania,1,3142,0
Rhode Island,1,3144,0
South Carolina,1,3145,0
South Dakota,1,3146,0
Tennessee,1,3147,0
Texas,1,3148,1
Utah,1,3149,0
Vermont,1,3150,0
Virginia,1,3151,0
Washington,1,3153,0
West Virginia,1,3154,0
Wisconsin,1,3155,0
Wyoming,1,3156,0
DCI 1,1,3160,0
DCI USA,1,3163,0
Chicago 2,1,3166,0
MW Region,1,3169,0
NE Region,1,3172,0
Mid Atlantic,1,3173,0
SE Region,1,3174,0
S.Plains,1,3175,0
SW Region,1,3176,0
Mountain,1,3177,0
Chicago 1,1,3181,0
Cactus,1,3185,0
Stroke DMR 1,1,7777,0
Houston,1,8207,0
SETXEmComm,1,8686,0
Crossroads,1,8710,0
BM 3148,1,9000,0
Parrot,1,9998,0
Audio Test,1,9999,0
BM Region 5,1,31095,0
OK Statewide 2,1,31402,0
Texas Nexus YSF,1,31488,0
AR NSX Local,1,310501,0
HR 2.0,1,314837,0
TRBO6 Comm1,1,3777215,0
TRBO6 Comm2,1,3777216,0
